Text;Entity;Attribute;Rule
"Предметная область
Предприятие по реализации товаров по заказам. Предприятие
располагает складом, на котором хранятся товары. Для получения товара
клиент оформляет заказ. Для пополнения товаров на складе предприятие
заключает договоры с поставщиками.
Бизнес-правила
1. Организация формирует заказы из товаров, имеющихся на складе.
2. Клиент может оформить заказ на несколько товаров.
3. Формированием заказа занимается один сотрудник.
Минимальный набор сущностей: товар, клиент, поставщик,
сотрудник.
Минимальный набор атрибутов: наименование товара, назначение
товара, стоимость товара; фамилия клиента, контактные данные клиента,
адрес клиента; название фирмы поставщика, фамилия руководителя
фирмы, контактные данные, адрес фирмы; фамилия сотрудника,
должность сотрудника, оклад сотрудника, номер служебного телефона
сотрудника.";товар, клиент, поставщик, сотрудник, заказ, договор_поставки;"""договор поставки:[идентификатор:int,идентификатор поставщика:int,идентификатор товара:int,количество товара:int];заказ:[идентификатор:int,идентификатор клиента:int,идентификатор товара:int,идентификатор сотрудника:int,количество товара:int,стоимость товара:double];клиент:[идентификатор:int,фамилия:string,контактные данные:string];поставщик:[идентификатор:int,название фирмы:string,фамилия руководителя:string,контактные данные:string,адрес фирмы:string];сотрудник:[идентификатор:int,фамилия:string,должность:string,оклад:double,номер служебного телефона:int];товар:[идентификатор:int,наименование:string,назначение:string,стоимость:double]""";клиент>заказ, сотрудник>заказ, договор<товар, поставщик>товар, поставщик>договор_поставки
"Предметная область
Ремонтная мастерская занимается ремонтом бытовой техники.
Клиент оформляет заказ на ремонт изделия. Ремонт изделий
осуществляется с использованием комплектующих, которые имеются на
складе мастерской. Для пополнения комплектующих на складе мастерская
заключает договоры с поставщиками.
Бизнес-правила
1. Существуют клиенты, нескольких категорий приоритетности.2. Каждый клиент может оформить неограниченное количество
заказов.
3. Клиенты оформляют один заказ на ремонт одного изделия.
4. Для получения заменяемой детали сотрудник организации
оформляет отдельный заказ на получение детали со склада.
5. Один заказ выполняется одним сотрудником.
Минимальный набор сущностей: изделие, клиент, сотрудник,
деталь.
Минимальный набор атрибутов: наименование изделия, вид
изделия, стоимость изделия; фамилия клиента, контактные данные
клиента, адрес клиента; фамилия сотрудника, должность сотрудника,
оклад сотрудника, номер служебного телефона сотрудника; название
детали, её стоимость, количество на складе, название фирмы
производителя. ";изделие, клиент, сотрудник, деталь, заказ_клиента, заказ_сотрудника, договор_поставки;"""деталь:[идентификатор:int,название:string,стоимость:double,количество на складе:int,название фирмы:производителя];договор поставки:[идентификатор:int,идентификатор поставщика:int,идентификатор товара:int,количество товара:int];заказ:[идентификатор:int];заказ клиента:[идентификатор клиента:int,идентификатор детали:int,идентификатор сотрудника:int,количество деталей:int,стоимость деталей:double];заказ сотрудника:[идентификатор сотрудника:int,идентификатор детали:int,количество деталей:int];изделие:[наименование:string,вид:string,стоимость:double];клиент:[идентификатор:int,фамилия:string,телефон:int,адрес:string];поставщик:[идентификатор:int];сотрудник:[идентификатор:int,фамилия:string,должность:string,оклад:double,номер служебного телефона:int];товар:[идентификатор:int]""";клиент>заказ_клиента, сотрудник>заказ_клиента, сотрудник>заказ_сотрудника, деталь>заказ_клиента, деталь>заказ_сотрудника, поставщик>деталь, поставщик>договор_поставки
"Предметная область
Фирма по прокату автомобилей. Фирма оказывает услуги,
предоставляя автомобили из своего парка. Фирма выдаёт напрокат
автомобили на основе договора. Сотрудник фирмы фиксируется данные о
клиенте, данные об автомобиле, дату начала проката и количество дней
проката.
Бизнес-правила
1. Клиент оформляет договор на прокат автомобиля.
2. Клиент может оформить несколько договоров.
3. Фирма ежегодно страхует автомобили в различных страховых
компаниях.
4. Стоимость проката зависит от марки автомобиля.
Минимальный набор сущностей: автомобиль, клиент, страховая
компания, сотрудник.
Минимальный набор атрибутов: номер автомобиля, его цвет,
марка, год выпуска, сумма страховки; фамилия клиента, номер его
паспорта и водительского удостоверения, контактные данные (телефон,
адрес), водительский стаж; название страховой компании, номер лицензии, адрес, фамилия руководителя; фамилия сотрудника, его
должность, оклад, служебный телефон.";автомобиль, клиент, страховая_компания, сотрудник, договор;"""автомобиль:[идентификатор:int,номер:int,цвет:string,марка:string,год выпуска:int,сумма страховки:int];договор:[идентификатор:int,идентификатор клиента:int,идентификатор сотрудника:int,дата начала проката:date,количество дней проката:int,идентификатор автомобиля:int,стоимость проката:int];клиент:[идентификатор:int,фамилия:string,номер паспорта:int,номер водительского удостоверения:int,телефон:int,адрес:string,водительский стаж:int];сотрудник:[идентификатор:int,фамилия:string,должность:string,оклад:double,служебный телефон:int];страховая компания:[идентификатор:int,название:string,номер лицензии:int,адрес:string,фамилия руководителя:string]""";клиент>договор, сотрудник>договор, страховая_компания>автомобиль
"Предметная область
Работа гостиницы.
Бизнес-правила
1. В гостинице имеются номера различной категории.
2. Каждый номер закреплен за одним сотрудником. Один сотрудник
может обслуживать несколько номеров.
3. Гость может забронировать номер указанной категории на
заданный срок.
4. Стоимость номер и зависит от его категории и перечня
дополнительных услуг, которыми пользовался гость.
Минимальный набор сущностей: номер, сотрудник, гость, услуга.
Минимальный набор атрибутов: номер комнаты, её тип, статус
(занята, забронирована, свободна), состояние (готова к проживанию,
требует уборки, требует ремонта); фамилия гостя, его категория, номер
паспорта, дата заселения, срок пребывания, гражданство; фамилия
сотрудника, специальность, оклад, контактный телефон.";номер, сотрудник, гость, услуга, бронь;"""бронь:[идентификатор:int,идентификатор гостя:int,идентификатор номера:int,срок пребывания:int,идентификатор сотрудника:int,перечень дополнительных услуг:string,стоимость:double];гость:[идентификатор:int,фамилия:string,категория:int,номер паспорта:int,дата заселения:date,срок пребывания:int,гражданство:string];номер:[идентификатор:int,номер комнаты:int,тип комнаты:string,статус комнаты:string,состояние комнаты:string,идентификатор сотрудника:int];сотрдник:[идентификатор:int];сотрудник:[фамилия:string,специальность:string,оклад:double,контактный телефон:int]""";гость>бронь, сотрудник>бронь, сотрудник>номер
"Предметная область
Ремонт автомобиля.
Бизнес-правила
1. Клиент оформляет договор на ремонт автомобиля.
2. Один автомобиль ремонтирует одна бригада сотрудников.
3. Для ремонта автомобиля используются комплектующие
различного типа и производителей.
4. Стоимость часа работы зависит от и категории бригады.
5. Различают несколько категорий клиентов.
Минимальный набор сущностей: автомобиль, клиент, бригада,
деталь.
Минимальный набор атрибутов: номер автомобиля, его цвет,
марка, год выпуска; фамилия клиента, номер его паспорта и
водительского удостоверения, контактные данные (телефон, адрес); номер
бригады, категория, тип (определяет, какие марки машин могут
ремонтировать), фамилия бригадира, служебный телефон, стоимость часа
работы; название детали, её стоимость, производитель, наличие на складе.";автомобиль, клиент, бригада, деталь, договор, договоры_детали;"""автомобиль:[идентификатор:int,номер:int,цвет:string,марка:string,год выпуска:int];бригада:[идентификатор:int,номер:int,категория:int,тип:string,фамилия бригадира:string,служебный телефон:int,стоимость часа работы:double];деталь:[идентификатор:int,название:string,стоимость:double,производитель:string,наличие на складе:boolean];договор:[идентификатор:int,идентификатор клиента:int,идентификатор бригады:int,идентификатор автомобиля:int,стоимость:double];договоры детали:[идентификатор договора:int,идентификтор детали:int,количество деталей:int];клиент:[идентификатор:int,фамилия:string,номер паспорта:int,номер водительского удостоверения:int,телефон:int,адрес:string,категория:int]""";бригада>договор, клиент>договор, договор<>деталь
"Предметная область
Работа агентства недвижимости.
Бизнес-правила
1. Агентство занимается оформлением недвижимости в аренду.
2. Клиент может арендовать несколько объектов.
3. Для оформления одного объекта оформляется один договор.
4. С каждым объектом недвижимости работает один сотрудник.
Минимальный набор сущностей: клиент, сотрудник, объект
недвижимости, договор.
Минимальный набор атрибутов: фамилия клиента, его категория,
контактные данные клиента, адрес клиента, номер паспорта; фамилия
сотрудника, должность сотрудника, оклад сотрудника, номер служебного
телефона сотрудника; вид объекта (дом, квартира, комната и т.п.), его
стоимость, адрес, состояние (новое, после ремонта, требует ремонта и
т.п.), статус (занят, свободен); дата заключения договора, срок договора.";клиент, сотрудник, объект_недвижимости, договор;"""договор:[идентификатор:int,идентификатор клиента:int,идентификатор сотрудника:int,идентификатор объекта:int,дата заключения:date,срок:int];клиент:[идентификатор:int,фамилия:string,категория:int,телефон:int,адрес:string,номер паспорта:int];объект:[идентификатор:int];объект недвижимости:[вид:string,стоимость:double,адрес:string,состояние:string,статус:string,идентификатор сотрудника:int];сотрдник:[идентификатор:int];сотрудник:[фамилия:string,специальность:string,оклад:double,номер служебного телефона:int]""";клиент>договор, сотрудник>договор, объект_недвижимости>договор, сотрудник>объект_недвижимости
"Предметная область
Отдел больницы по работе с договорами.
Бизнес-правила
1. Пациент заключает договор на лечение в заданном отделении
больницы.
2. У каждого пациента есть лечащий врач.
3. Пациент может оплачивать свой договор за счёт страховой
компании.
4. Обследование пациента проводит не только лечащий врач.
Минимальный набор сущностей: пациент, врач, обследование,
страховая компания.
Минимальный набор атрибутов: фамилия пациента, его категория,
номер паспорта, номер страхового полиса, дата поступления,
гражданство; фамилия врача, категория, специальность, оклад,
контактный телефон; название обследования, вид обследования, дата
проведения обследования, стоимость обследования; название страховой
компании, номер лицензии, фамилия руководителя, контактный телефон.";пациент, врач, обследование, страховая_компания, договор, обследования_врачи;"""врач:[идентификатор:int,фамилия:string,специальность:string,оклад:double,контактный телефон:int,категория:int];договор:[идентификатор:int,идентификатор пациента:int,идентификатор врача:int. договор,источник оплаты:string];обследование:[идентификатор:int,идентификатор пациента:int,название:string,вид:string,стоимость:double];обследования врачи:[идентификатор обследования:int,идентификатор врача:int];пациент:[идентификатор:int,фамилия:string,категория:int,телефон:int,адрес:string,номер паспорта:int,номер страхового полиса:int,дата поступления:date,гражданство:string];страховая компания:[идентификатор:int,название:string,номер лицензии:int,фамилия руководителя:string,контактный телефон:int]""";пациент-договор, врач>договор, пациент>обследование, врач<>обследование
"Предметная область
Типография занимается выпуском печатной продукции.
Бизнес-правила
1. Для выполнения работ типография заключает договор с клиентом.
2. Один договор выполняет одна бригада сотрудников.
3. Стоимость работ зависит от вида продукции, вида материалов и
тиража издания.
4. Различают несколько категорий клиентов.
5. Для выполнения работ используются материалы.
Минимальный набор сущностей: клиент, издание, бригада
сотрудников, материал.
Минимальный набор атрибутов: фамилия клиента, контактные
данные клиента, адрес клиента; наименование издания, его вид, стоимость
издания; номер бригады, специализация, номер служебного телефона
бригадира; название материала, её стоимость, количество на складе,
название фирмы производителя. ";клиент, издание, бригада_сотрудников, материал, договор, договоры_материалы;"""бригада:[идентификатор:int,номер:int,специализация:string,номер служебного телефона бригадира:int];договор:[идентификатор:int,идентификатор клиента:int,идентификатор бригады:int,идентификатор издания:int,стоимость:double,тираж издания:int];договоры материалы:[идентификатор договора:int,идентификатор материала:int];издание:[идентификатор:int,наименование:string,вид:string,стоимость:double];клиент:[идентификатор:int,фамилия:string,категория:int,телефон:int,адрес:string];материал:[идентификатор:int,название:string,стоимость:double,название фирмы производителя:string];метариал:[количество на складе:int]""";клиент>договор, бригада>договор, издание>договор, договор<>материал
"Предметная область
Страховая компания.
Бизнес-правила
1. Договор страхования заключается между страховой компанией и
клиентом сроком не более 1 года (но может быть и меньше).
2. При заключении договора указывается вид страхования, страховая
сумма, дата начала действия договора.
3. Один клиент может заключить несколько договоров.
4. Один сотрудник работает с несколькими клиентами.
5. Страхование осуществляется на основе существующего вида
услуг.
Минимальный набор сущностей: клиент, сотрудник, страховой
продукт, договор.
Минимальный набор атрибутов: фамилия клиента, его категория,
контактные данные клиента, адрес клиента, номер паспорта; фамилия
сотрудника, должность сотрудника, оклад сотрудника, номер служебного
телефона сотрудника; название страхового продукта (дом, квартира,
комната, автомобиль и т.п.), его базовая стоимость; дата заключения
договора, дата завершения, объект страхования, его оценочная стоимость.";клиент, сотрудник, страховой_продукт, договор, вид_страхования;"""вид страхования:[идентификатор:int,название:string,описание:string];договор:[идентификатор клиента:int,идентификатор сотрудника:int,объект стрхования:int,идентификатор вида страхования:int,дата заключения:date,дата завершения:date,оценочная стоимость объекта:int,страховая сумма:double];догоор:[идентификатор:int];клиент:[идентификатор:int,фамилия:string,номер паспорта:int,телефон:int,адрес:string];сотрдник:[идентификатор:int];сотрудник:[фамилия:string,должность:string,оклад:double,номер служебного телефона:int];страховой продукт:[идентификатор:int,название:string,базовая стоимость:double]""";клиент>договор, сотрудник>договор, вид_страхования>договор, объект_страхования>договор, договор:дата_завершения-договор:дата_заключения<=360
"Домашняя коллекция дисков
Необходимо создать базу данных для приложения, учитывающего информацию о домашней коллекции CD и DVD. Хранится информация о контенте диска (музыка, фильмы). Для музыкального произведения хранится информация об исполнителе, альбоме, название песни, жанр и год выхода альбома. Для фильма – название, режиссер, список актеров и жанр фильма. Необходимо учитывать, что песня или фильм могут встречаться более чем на одном диске.";диск, музыкальное_произведение, фильм, диски_музыкальные_произведения, диски_фильмы;"""диск:[идентификатор:int,контент:string];диски музыкальные произведения:[идентификатор диска:int,идентификатор музыкального произведения:int];диски фильмы:[идентификатор диска:int,идентификатор фильма:int];музыкальное произведение:[идентификатор:int,исполнитель:string,название:string,альбом:string,жанр:string,год выпуска:int];фильм:[идентификатор:int,название:string,режиссер:string,список актеров:string,жанр:string]""";диск<>музыкальное_произведение, диск<>фильм
